,nomClass,time_video,c
340,particular,254,4
341,particular,256,1
342,particular,257,2
343,particular,262,1
344,particular,263,1
345,particular,267,1
346,particular,268,1
347,particular,269,1
348,particular,270,2
349,particular,273,2
350,particular,277,1
351,particular,278,2
352,particular,280,1
353,particular,281,2
354,particular,282,2
355,particular,283,1
356,particular,284,5
357,particular,285,5
358,particular,286,1
359,particular,288,3
360,particular,290,3
361,particular,292,2
362,particular,293,2
363,particular,294,2
364,particular,295,1
365,particular,296,2
366,particular,297,1
367,particular,298,2
368,particular,299,1
369,particular,308,2
370,particular,310,1
371,particular,311,1
372,particular,312,1
373,particular,313,7
374,particular,314,3
375,particular,318,2
376,particular,319,1
377,particular,321,2
378,particular,322,5
379,particular,323,1
380,particular,325,1
381,particular,327,1
382,particular,328,1
383,particular,329,1
384,particular,335,1
385,particular,336,1
386,particular,339,1
387,particular,341,1
388,particular,342,1
389,particular,344,2
390,particular,345,1
391,particular,347,2
392,particular,349,1
393,particular,352,1
394,particular,353,1
395,particular,354,4
396,particular,356,5
397,particular,357,2
398,particular,358,6
399,particular,359,3
400,particular,360,1
401,particular,361,3
402,particular,362,3
403,particular,363,2
404,particular,364,1
405,particular,365,3
406,particular,366,1
407,particular,367,6
408,particular,368,4
409,particular,369,4
410,particular,370,2
411,particular,372,3
412,particular,373,1
413,particular,374,8
414,particular,377,1
415,particular,378,1
416,particular,382,1
417,particular,384,2
418,particular,386,1
419,particular,387,1
420,particular,388,6
421,particular,391,5
422,particular,392,1
423,particular,393,2
424,particular,394,1
425,particular,395,1
426,particular,396,3
427,particular,397,2
428,particular,398,1
429,particular,400,2
430,particular,401,3
431,particular,402,4
432,particular,403,2
433,particular,405,4
434,particular,408,3
435,particular,409,1
436,particular,410,2
437,particular,411,3
438,particular,412,2
439,particular,413,2
440,particular,414,1
441,particular,416,1
442,particular,417,2
443,particular,418,1
444,particular,420,1
445,particular,421,1
446,particular,422,4
447,particular,424,1
448,particular,425,2
449,particular,426,4
450,particular,427,2
451,particular,428,1
452,particular,429,1
453,particular,430,1
454,particular,431,1
455,particular,432,1
456,particular,438,3
457,particular,439,2
458,particular,441,1
459,particular,442,1
460,particular,443,1
461,particular,445,1
462,particular,446,1
463,particular,448,1
464,particular,449,2
465,particular,450,1
466,particular,452,1
467,particular,456,1
468,particular,457,5
469,particular,458,2
470,particular,459,2
471,particular,461,4
472,particular,464,1
473,particular,474,2
474,particular,475,2
475,particular,476,1
476,particular,478,2
477,particular,479,1
478,particular,480,5
479,particular,481,6
480,particular,482,2
481,particular,484,4
482,particular,485,3
483,particular,486,2
484,particular,487,2
485,particular,488,1
486,particular,490,2
487,particular,491,1
488,particular,492,3
489,particular,493,2
490,particular,494,1
491,particular,495,1
492,particular,496,2
493,particular,498,1
494,particular,499,1
495,particular,500,1
496,particular,501,3
497,particular,503,4
498,particular,505,2
499,particular,506,2
500,particular,507,3
501,particular,508,2
502,particular,509,1
503,particular,510,1
504,particular,511,2
505,particular,512,2
506,particular,514,7
507,particular,515,1
508,particular,516,1
509,particular,517,1
510,particular,519,2
511,particular,521,1
512,particular,522,1
513,particular,523,2
514,particular,524,1
515,particular,525,3
516,particular,527,3
517,particular,528,4
518,particular,529,1
519,particular,530,1
520,particular,531,1
521,particular,533,2
522,particular,534,4
523,particular,537,1
524,particular,539,3
525,particular,541,2
526,particular,543,1
527,particular,544,1
528,particular,545,3
529,particular,550,3
530,particular,555,1
531,particular,557,1
532,particular,559,1
533,particular,560,2
534,particular,562,4
535,particular,565,1
536,particular,566,1
537,particular,569,1
538,particular,571,1
539,particular,576,2
540,particular,578,1
541,particular,580,1
542,particular,582,1
543,particular,583,1
544,particular,584,1
545,particular,585,1
546,particular,587,3
547,particular,589,3
548,particular,591,1
549,particular,592,1
550,particular,596,1
551,particular,597,2
552,particular,599,1
553,particular,600,3
554,particular,601,4
555,particular,602,4
556,particular,603,1
557,particular,608,1
558,particular,609,4
559,particular,612,2
560,particular,615,1
561,particular,616,2
562,particular,617,2
563,particular,618,1
564,particular,619,4
565,particular,620,3
566,particular,625,1
567,particular,627,1
568,particular,630,3
569,particular,632,1
570,particular,633,2
571,particular,634,1
572,particular,635,1
573,particular,636,1
574,particular,637,6
575,particular,638,2
576,particular,639,2
577,particular,640,3
578,particular,641,5
579,particular,642,3
580,particular,643,4
581,particular,644,1
582,particular,645,1
583,particular,646,4
584,particular,647,2
585,particular,648,1
586,particular,649,1
587,particular,652,1
588,particular,655,2
589,particular,656,3
590,particular,658,1
591,particular,666,1
592,particular,669,1
593,particular,671,1
594,particular,674,1
595,particular,675,1
596,particular,679,1
597,particular,681,1
598,particular,685,1
599,particular,687,1
600,particular,689,1
601,particular,695,2
602,particular,696,1
603,particular,699,2
604,particular,703,2
605,particular,707,2
606,particular,708,1
607,particular,709,1
608,particular,710,2
609,particular,711,1
610,particular,712,1
611,particular,713,3
612,particular,714,1
613,particular,716,2
614,particular,717,5
615,particular,718,3
616,particular,719,2
617,particular,720,4
618,particular,721,1
619,particular,722,2
620,particular,723,2
621,particular,724,2
622,particular,725,2
623,particular,726,2
624,particular,727,1
625,particular,728,1
626,particular,729,1
627,particular,730,2
628,particular,731,1
629,particular,732,1
630,particular,733,2
631,particular,734,1
632,particular,735,1
633,particular,736,3
634,particular,737,5
635,particular,738,1
636,particular,739,4
637,particular,740,1
638,particular,741,6
639,particular,742,2
640,particular,743,2
641,particular,744,1
642,particular,745,2
643,particular,746,1
644,particular,747,3
645,particular,748,2
646,particular,749,1
647,particular,750,3
648,particular,751,1
649,particular,755,1
650,particular,757,1
651,particular,758,2
652,particular,760,1
653,particular,761,4
654,particular,762,3
655,particular,763,1
656,particular,764,1
657,particular,765,2
658,particular,766,1
659,particular,767,1
660,particular,769,2
661,particular,770,1
662,particular,772,3
663,particular,773,1
664,particular,774,2
665,particular,775,2
666,particular,776,1
667,particular,778,2
668,particular,779,6
669,particular,781,1
670,particular,782,3
671,particular,784,1
672,particular,785,2
673,particular,786,1
674,particular,787,1
675,particular,789,1
676,particular,791,1
677,particular,792,1
678,particular,795,1
679,particular,799,1
680,particular,804,1
681,particular,814,1
682,particular,816,1
683,particular,822,3
684,particular,827,2
685,particular,829,1
686,particular,830,1
687,particular,831,1
688,particular,832,1
689,particular,833,1
690,particular,834,3
691,particular,835,1
692,particular,836,1
693,particular,838,3
694,particular,839,5
695,particular,840,2
696,particular,841,1
697,particular,842,1
698,particular,843,2
699,particular,844,1
700,particular,845,3
701,particular,846,2
702,particular,847,1
703,particular,848,2
704,particular,849,1
705,particular,850,5
706,particular,851,2
707,particular,852,2
708,particular,853,2
709,particular,854,1
710,particular,855,4
711,particular,856,3
712,particular,857,4
713,particular,858,2
714,particular,859,4
715,particular,860,1
716,particular,861,2
717,particular,862,3
718,particular,864,3
719,particular,866,3
720,particular,867,2
721,particular,868,2
722,particular,869,1
723,particular,870,2
724,particular,871,1
725,particular,872,7
726,particular,874,3
727,particular,875,2
728,particular,878,1
729,particular,879,2
730,particular,880,3
731,particular,881,2
732,particular,882,2
733,particular,883,1
734,particular,884,4
735,particular,885,3
736,particular,886,3
737,particular,887,3
738,particular,888,2
739,particular,889,2
740,particular,890,3
741,particular,891,3
742,particular,893,2
743,particular,894,1
744,particular,895,2
745,particular,896,1
746,particular,897,1
747,particular,899,5
748,particular,901,2
749,particular,902,1
750,particular,903,2
751,particular,904,1
752,particular,905,2
753,particular,906,1
754,particular,908,1
755,particular,909,1
756,particular,910,2
757,particular,911,1
758,particular,912,1
759,particular,913,1
760,particular,914,1
761,particular,916,2
762,particular,917,1
763,particular,918,1
764,particular,920,1
765,particular,922,1
766,particular,924,1
767,particular,925,2
768,particular,927,1
769,particular,929,2
770,particular,930,5
771,particular,931,1
772,particular,932,1
773,particular,933,4
774,particular,935,1
775,particular,937,3
776,particular,938,1
777,particular,940,1
778,particular,941,1
779,particular,944,2
780,particular,946,3
781,particular,947,2
782,particular,948,1
783,particular,949,1
784,particular,950,1
785,particular,951,2
786,particular,952,1
787,particular,955,2
788,particular,956,5
789,particular,957,1
790,particular,960,2
791,particular,961,2
792,particular,962,4
793,particular,963,1
794,particular,964,2
795,particular,965,2
796,particular,966,5
797,particular,967,1
798,particular,968,1
799,particular,969,4
800,particular,971,5
801,particular,972,5
802,particular,973,2
803,particular,974,2
804,particular,975,1
805,particular,976,3
806,particular,977,1
807,particular,979,1
808,particular,980,1
809,particular,981,1
810,particular,982,4
811,particular,983,1
812,particular,984,2
813,particular,985,2
814,particular,986,2
815,particular,987,2
816,particular,988,3
817,particular,989,1
818,particular,990,1
819,particular,991,1
820,particular,992,2
821,particular,993,5
822,particular,996,3
823,particular,997,1
824,particular,999,1
825,particular,1000,1
826,particular,1001,2
827,particular,1002,2
828,particular,1004,1
829,particular,1005,1
830,particular,1006,1
831,particular,1007,1
832,particular,1008,1
833,particular,1011,4
834,particular,1013,3
835,particular,1015,2
836,particular,1016,1
837,particular,1017,1
838,particular,1018,1
839,particular,1019,1
840,particular,1021,1
841,particular,1022,3
842,particular,1023,4
843,particular,1024,3
844,particular,1025,1
845,particular,1027,1
846,particular,1028,1
847,particular,1029,3
848,particular,1032,2
849,particular,1035,3
850,particular,1036,1
851,particular,1048,1
852,particular,1051,1
853,particular,1054,1
854,particular,1056,1
855,particular,1057,1
856,particular,1058,3
857,particular,1059,1
858,particular,1060,1
859,particular,1062,1
860,particular,1063,1
861,particular,1064,1
862,particular,1068,1
863,particular,1076,1
864,particular,1078,2
865,particular,1079,1
866,particular,1080,2
867,particular,1081,3
868,particular,1082,2
869,particular,1083,3
870,particular,1084,4
871,particular,1085,3
872,particular,1086,3
873,particular,1087,3
874,particular,1088,3
875,particular,1089,1
876,particular,1090,4
877,particular,1091,2
878,particular,1092,3
879,particular,1093,1
880,particular,1095,3
881,particular,1096,2
882,particular,1097,1
883,particular,1098,3
884,particular,1099,1
885,particular,1101,1
886,particular,1102,1
887,particular,1103,1
888,particular,1104,1
889,particular,1105,2
890,particular,1106,5
891,particular,1108,3
892,particular,1109,2
893,particular,1111,2
894,particular,1112,1
895,particular,1113,1
896,particular,1114,1
897,particular,1115,2
898,particular,1116,1
899,particular,1117,1
900,particular,1118,2
901,particular,1119,1
902,particular,1127,1
903,particular,1129,1
904,particular,1131,1
905,particular,1140,1
906,particular,1146,1
907,particular,1147,1
908,particular,1152,1
909,particular,1157,1
910,particular,1162,1
911,particular,1163,1
912,particular,1165,3
913,particular,1168,2
914,particular,1172,1
915,particular,1173,1
916,particular,1176,1
917,particular,1178,1
