,epoch,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
45,45,1.3127,0.88118,1.0892,0.74295,0.6967,0.76083,0.48434,1.3139,0.91742,1.0896,0.00637,0.00637,0.00637
46,46,1.3008,0.87362,1.0863,0.73441,0.72045,0.76376,0.47201,1.3199,0.91309,1.1049,0.006205,0.006205,0.006205
47,47,1.3023,0.87549,1.0877,0.69522,0.76774,0.75455,0.47054,1.3234,0.91846,1.098,0.00604,0.00604,0.00604
48,48,1.2968,0.86566,1.087,0.75739,0.709,0.7666,0.48046,1.3309,0.89515,1.1041,0.005875,0.005875,0.005875
49,49,1.3095,0.86165,1.0897,0.73193,0.71313,0.75317,0.4782,1.3225,0.91429,1.0971,0.00571,0.00571,0.00571
50,50,1.2967,0.85208,1.103,0.72724,0.73756,0.74619,0.46823,1.3208,0.91539,1.0992,0.005545,0.005545,0.005545
51,51,1.2936,0.8373,1.0985,0.70795,0.75977,0.7545,0.46007,1.335,0.92615,1.1076,0.00538,0.00538,0.00538
52,52,1.2923,0.82816,1.0991,0.73101,0.72503,0.75909,0.48482,1.3269,0.90558,1.1011,0.005215,0.005215,0.005215
53,53,1.2815,0.81905,1.0991,0.71819,0.72716,0.76262,0.48516,1.3195,0.91325,1.0985,0.00505,0.00505,0.00505
54,54,1.2797,0.80996,1.0941,0.74158,0.71243,0.74979,0.47278,1.3383,0.91101,1.105,0.004885,0.004885,0.004885
55,55,1.2703,0.8032,1.0918,0.75272,0.69991,0.74794,0.47483,1.3271,0.90776,1.1022,0.00472,0.00472,0.00472
56,56,1.2608,0.7971,1.0892,0.69313,0.7324,0.75098,0.47538,1.3089,0.89403,1.094,0.004555,0.004555,0.004555
57,57,1.255,0.78614,1.0883,0.71786,0.72124,0.74592,0.4665,1.3371,0.92198,1.1056,0.00439,0.00439,0.00439
58,58,1.2504,0.78478,1.0786,0.71984,0.70905,0.74993,0.48154,1.3201,0.91922,1.0946,0.004225,0.004225,0.004225
59,59,1.2424,0.77187,1.0774,0.64946,0.74507,0.71393,0.45429,1.3316,0.9264,1.1002,0.00406,0.00406,0.00406
